Company Name,Website,Domain,Location,About,Funding,Industry,Size,Country,Business Phone1,Business Phone2,Business Phone3,LinkedIn,Facebook,Twitter,CrunchBase
LeadSquared,https://www.leadsquared.com,www.leadsquared.com,Bangalore,"LeadSquared is a sales execution and marketing automation platform that allows businesses to track, nurture, and manage their leads. View contacts for LeadSquared to access new leads and connect with decision-makers. LeadSquared is a unified lead conversion and marketing automation platform that helps B2B & B2C businesses track, nurture, and manage their leads seamlessly. It includes services like sales CRM, mobile CRM, marketing automation, integrations, and conversion platform. LeadSquared enables its clients to manage their entire database on its",,,1001-5000,Bangalore,,,,https://www.linkedin.com/company/leadsquared,https://www.facebook.com/LeadSquared,https://twitter.com/LeadSquared,https://www.crunchbase.com/organization/leadsquared
Bamboo Health,https://bamboohealth.com,bamboohealth.com,Louisville,Bamboo Health operates as a healthcare technology solutions company with a focus on fostering care collaboration. View contacts for Bamboo Health to access new leads and connect with decision-makers. Bamboo Health operates as a healthcare technology solutions company with a focus on fostering care collaboration.,,,251-500,Louisville,,,,https://www.linkedin.com/company/16176904,https://www.facebook.com/BambooHlth,https://twitter.com/bamboohlth,https://www.crunchbase.com/organization/appriss-health
Cigna,https://www.cigna.com,www.cigna.com,Bloomfield,"CIGNA Corporation operates as a health service company that helps people to improve the health, well-being, and peace of mind. View contacts for Cigna to access new leads and connect with decision-makers. CIGNA Corporation operates as a health service company in the United States. It helps to improve the health, well-being, and peace of mind of those it serves by making health care simple, affordable, and predictable.",,,10001+,Bloomfield,,,,https://www.linkedin.com/company/cigna,http://www.facebook.com/cigna,http://twitter.com/cigna,https://crunchbase.com/organization/cigna
Cigna,https://www.cigna.com,www.cigna.com,Bloomfield,"CIGNA Corporation operates as a health service company that helps people to improve the health, well-being, and peace of mind. View contacts for Cigna to access new leads and connect with decision-makers. CIGNA Corporation operates as a health service company in the United States. It helps to improve the health, well-being, and peace of mind of those it serves by making health care simple, affordable, and predictable.",,,10001+,Bloomfield,,,,https://www.linkedin.com/company/cigna,http://www.facebook.com/cigna,http://twitter.com/cigna,https://crunchbase.com/organization/cigna
Medtronic,https://www.medtronic.com,www.medtronic.com,Minneapolis,"Medtronic develops healthcare technology solutions for various medical conditions. View contacts for Medtronic to access new leads and connect with decision-makers. Medtronic provides healthcare technology solutions for complex and challenging conditions. They deliver treatments and therapies for the lungs, brain, dental, diabetes, ENT, heart, gastrointestinal, orthopedic, urinary, and women's health. The company's technologies and therapies treat 70 different medical conditions and include patient",,,10001+,Minneapolis,,,,https://www.linkedin.com/company/medtronic,http://www.facebook.com/Medtronic,http://twitter.com/Medtronic,https://www.crunchbase.com/organization/medtronic
BILL,https://www.bill.com,www.bill.com,San Jose,"BILL is a developer of financial automation software for small and midsize businesses (SMBs). View contacts for BILL to access new leads and connect with decision-makers. BILL (NYSE: BILL) is a leader in financial automation software for small and midsize businesses (SMBs). As a champion of SMBs, we are dedicated to automating the future of finance so businesses can flourish. Hundreds of thousands of businesses trust BILL solutions to manage financial workflows, including payables, receivables, and spend and expense",,,1001-5000,San Jose,,,,https://www.linkedin.com/company/bill-com,http://www.facebook.com/billcom,http://twitter.com/billcom,https://www.crunchbase.com/organization/bill-com
Uber,https://www.uber.com,www.uber.com,San Francisco,"Uber develops, markets, and operates a ride-sharing mobile application that allows consumers to submit a trip request. View contacts for Uber to access new leads and connect with decision-makers. Uber develops, markets, and operates a ridesharing mobile application that allows consumers to submit a trip request that is routed to crowd-sourced partner drivers.Its smartphone application connects drivers with people who need a ride. Its application enables users to arrange and schedule transportation and/or logistics services with",,,10001+,San Francisco,,,,https://www.linkedin.com/company/uber-com,https://www.facebook.com/uber,http://twitter.com/uber,https://www.crunchbase.com/organization/uber
FICO,https://www.fico.com,www.fico.com,San Jose,"Fair Isaac Corporation enables businesses to automate, improve, and connect decisions to enhance business performance. View contacts for FICO to access new leads and connect with decision-makers. Fair Isaac Corporation offers provides products and services that enable businesses to automate, improve, and connect decisions to enhance business performance.The company operates in three segments: applications, which include pre-configured decision management applications designed for a specific type of business problem or process; scores,",,,1001-5000,San Jose,,,,https://www.linkedin.com/company/fico/,http://www.facebook.com/pages/FICO/131037560306152,http://twitter.com/fico,https://www.crunchbase.com/organization/fair-isaac-corporation
Collibra,https://www.collibra.com,www.collibra.com,Brussels,"Collibra delivers an end-to-end Data Intelligence platform to accelerate digital business transformation. View contacts for Collibra to access new leads and connect with decision-makers. Collibra delivers an end-to-end Data Intelligence platform to accelerate digital business transformation. Collibra accelerates trusted business outcomes by connecting the right data, insights, and algorithms to all Data Citizens. The company's platform breaks down traditional data silos and opens up organizational data, providing trustworthy",,,501-1000,Brussels,,,,https://www.linkedin.com/company/collibra,https://www.facebook.com/CollibraInc,http://twitter.com/collibra,https://www.crunchbase.com/organization/collibra
Cloudflare,https://www.cloudflare.com,www.cloudflare.com,San Francisco,"Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online. View contacts for Cloudflare to access new leads and connect with decision-makers. Cloudflare is a web performance and security company that provides online services to protect and accelerate websites online. Its online platforms include Cloudflare CDN that distributes content around the world to speed up websites, Cloudflare optimizer that enables web pages with ad servers and third-party widgets to download Snappy software on",,,501-1000,San Francisco,,,,https://www.linkedin.com/company/cloudflare-inc-,http://www.facebook.com/Cloudflare,http://twitter.com/cloudflare,https://www.crunchbase.com/organization/cloudflare
